Order Group,Vendor,Priority,Part,Listing URL,Low-End Price Value,High-End Price Value,Currency,Price Status,Stock Status,Order Low Subtotal Formula,Order High Subtotal Formula,Notes
Order 3,Electrical supplier,Medium,Tesa 51036 loom tape,,8,15,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Final loom wrap
Order 3,Electrical supplier,Medium,Split conduit 10 and 13 mm,,10,25,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),Frame-run protection
Order 3,Electrical supplier,High,12V bulb conversion set,,15,40,EUR,Estimate,Planning range,=SUM(F12:F20),=SUM(G12:G20),All bulbs together
Order 4,Used donor market,Critical,XT600 3TB stator,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+stator,60,140,EUR,Estimate,Planning range,=SUM(F21:F25),=SUM(G21:G25),Prefer full matched donor set
Order 4,Used donor market,Critical,XT600 3TB flywheel,https://www.ebay.fr/sch/i.html?_nkw=XT600+3TB+flywheel,40,100,EUR,Estimate,Planning range,=SUM(F21:F25),=SUM(G21:G25),Must match stator generation
Order 4,Used donor market,Critical,XT600 3TB CDI used,https://www.ebay.fr/sch/i.html?_nkw=3TB-82305-00,80,180,EUR,Estimate,Planning range,=SUM(F21:F25),=SUM(G21:G25),Use only if provenance is credible
Order 4,Used donor market,Critical,XT600 3TB regulator rectifier,https://www.ebay.fr/sch/i.html?_nkw=3TJ-81960-01,40,120,EUR,Estimate,Planning range,=SUM(F21:F25),=SUM(G21:G25),Verify donor year and charging condition
Order 4,Used donor market,High,XT600 12V ignition coil,https://www.leboncoin.fr/recherche?text=XT600%203TB%20bobine%2012V,20,60,EUR,Estimate,Planning range,=SUM(F21:F25),=SUM(G21:G25),Target 3 to 5 ohm primary
Fallback,RegulatorRectifier,Critical,Aftermarket 3TB CDI,https://www.regulatorrectifier.com/products/1990-2002-yamaha-xt600e-3tb-performance-ignitor-unit-assy-cdi-unit,299.99,299.99,USD,Fixed,Live page,=SUM(F26:F26),=SUM(G26:G26),Fallback if donor CDI is the weak link
Summary,All vendors,,Order 1 KEDO subtotal,,=SUM(F2:F10),=SUM(G2:G10),EUR,Computed,,=SUM(F2:F10),=SUM(G2:G10),Includes optional sump gasket
Summary,All vendors,,Order 2 OEM subtotal,,=SUM(F11:F11),=SUM(G11:G11),EUR,Computed,,=SUM(F11:F11),=SUM(G11:G11),Single-item OEM order currently
Summary,All vendors,,Order 3 electrical-supplies subtotal,,=SUM(F12:F20),=SUM(G12:G20),EUR,Computed,,=SUM(F12:F20),=SUM(G12:G20),Low and high planning values
Summary,All vendors,,Order 4 donor-market subtotal,,=SUM(F21:F25),=SUM(G21:G25),EUR,Computed,,=SUM(F21:F25),=SUM(G21:G25),Low and high planning values
Summary,All vendors,,Fallback CDI subtotal,,=SUM(F26:F26),=SUM(G26:G26),USD,Computed,,=SUM(F26:F26),=SUM(G26:G26),Separate because it is a path choice
