Category,Priority,Part,Qty,Unit Min,Unit Max,Currency,Min Total,Max Total,Price Confidence,Status,Source URL,Notes
12V core,Critical,XT600 3TB regulator rectifier,1,40,120,EUR,=D16*E16,=D16*F16,Estimate,Planning range,https://www.ebay.fr/sch/i.html?_nkw=3TJ-81960-01,Used or aftermarket planning range
12V core,High,XT600 12V ignition coil,1,20,60,EUR,=D17*E17,=D17*F17,Estimate,Planning range,https://www.leboncoin.fr/recherche?text=XT600%203TB%20bobine%2012V,Target 3 to 5 ohm primary resistance
12V loom,High,AGM battery YTX5L-BS class,1,25,55,EUR,=D18*E18,=D18*F18,Estimate,Planning range,,Need final physical sizing and mount plan
12V loom,High,Blade fuse block 4 to 6 way,1,10,25,EUR,=D19*E19,=D19*F19,Estimate,Planning range,,ATO or ATC type
12V loom,High,Weatherproof inline fuse holder,1,5,12,EUR,=D20*E20,=D20*F20,Estimate,Planning range,,Install close to battery positive
12V loom,High,Fuse assortment 5A 10A 20A,1,5,10,EUR,=D21*E21,=D21*F21,Estimate,Planning range,,Initial fuse map already defined
12V loom,High,TXL or GXL wire set,1,35,80,EUR,=D22*E22,=D22*F22,Estimate,Planning range,,Buy 5m each major color/gauge
12V loom,High,Superseal and/or Deutsch connector kit,1,25,70,EUR,=D23*E23,=D23*F23,Estimate,Planning range,,Prefer engine-side robust connectors
12V loom,Medium,Adhesive heat shrink kit,1,8,20,EUR,=D24*E24,=D24*F24,Estimate,Planning range,,Dual-wall type
12V loom,Medium,Tesa 51036 loom tape,1,8,15,EUR,=D25*E25,=D25*F25,Estimate,Planning range,,For final loom wrapping
12V loom,Medium,Split conduit 10 and 13 mm,1,10,25,EUR,=D26*E26,=D26*F26,Estimate,Planning range,,Protect frame-routed sections
12V loom,High,12V bulb conversion set,1,15,40,EUR,=D27*E27,=D27*F27,Estimate,Planning range,,Headlight tail/brake and speedo bulbs together
Summary,,Known EUR subtotal,,, ,EUR,=SUM(H2:H11),=SUM(I2:I11),Computed,Live fixed prices only,,Excludes estimated conversion lines and shipping
Summary,,Known USD subtotal,,, ,USD,=SUM(H12:H12),=SUM(I12:I12),Computed,Live fixed prices only,,Aftermarket CDI path only
Summary,,Estimated EUR subtotal including planning ranges,,, ,EUR,=SUM(H2:H11)+SUM(H13:H27),=SUM(I2:I11)+SUM(I13:I27),Computed,Planning estimate,,Excludes the optional USD aftermarket CDI line unless you convert currencies manually
Summary,,Planning-range lines remaining,15,,,count,=COUNTIF(J2:J27,"Estimate"),=COUNTIF(J2:J27,"Estimate"),Computed,Review and replace with live listings,,Replace estimates with real prices as you source parts
